,MONTH,NKB_Банки з державною часткою,NRB_Банки з державною часткою,QUARTER,YEAR,Банк  ,Банк   ,"Кредити, що надані субєктам господарювання за видами економічної діяльності, що класифікуються за секціями (А,B-E,F)","Кредитні операції, що класифіковані за I категорією якості","Кредитні операції, що класифіковані за I категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за II категорією якості","Кредитні операції, що класифіковані за II категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за III категорією якості","Кредитні операції, що класифіковані за III категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за IV категорією якості","Кредитні операції, що класифіковані за IV категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за V категорією якості","Кредитні операції, що класифіковані за V категорією якості__величина кредитного ризику за такими операціями",МФО,Рентабельність активів (%),№ п/п,№п/п
25,01,,325,4,2017,,"ПАТ ""БАНК ФОРВАРД""",0,2034824.77498,34519.76524,199233.87384,34902.9679,24204.16047,9847.90306,24558.7043,20968.31382,207625.7339,207625.7339,380418,0.353,26,
26,01,,329,4,2017,,"ПАТ ""КРЕДИТ ЄВРОПА БАНК""",476729.968,3011471.22195,22.22373,264482.98794,34118.19066,520236.16531,91399.79669,542323.16832,27732.12129,209467.76873,209467.76873,380366,2.9926,27,
27,01,,407,4,2017,,"ПАТ ""Дойче Банк ДБУ""",18021.34693,2681443.05803,198.7348,226991.71954,2485.37431,973.70462,212.9492,0,0,0,0,380731,4.8947,28,
28,01,,455,4,2017,,"ПАТ""СЕБ КОРПОРАТИВНИЙ БАНК""",302039.25877,1952504.55758,7.33331,1174152.6006,4.21699,0,0,0,0,0,0,380797,4.149,29,
29,01,,331,4,2017,,"ПАТ ""КРЕДИТВЕСТ БАНК""",309994.69105,530611.55468,811.02563,732031.68285,9530.48225,0,0,0,0,2055.26125,2055.26125,380441,2.9707,30,
30,01,,129,4,2017,,"ПАТ ""БТА Банк""",132608.79168,36604.60864,159.35819,76662.54323,2259.87861,86034.62724,4892.23516,181.26839,5E-05,589072.13469,303816.70291,321723,0.0237,31,
31,01,,115,4,2017,,"ПАT ""ПУМБ""",14583675.46543,13575478.17995,186723.16264,18214406.71169,919756.43912,886451.49665,65527.12583,1480749.85727,365961.55628,9995742.99613,8923225.312,334851,0.9031,32,
32,01,,106,4,2017,,"Акціонерний банк""Південний""",4774821.88702,6807820.31636,4342.56652,12011492.75674,255115.07274,337644.38411,12318.56744,587799.2387,434511.78262,963125.9271,757536.9372,328209,0.3438,33,
33,01,,126,4,2017,,"ПАТ ""МЕГАБАНК"", Харків",3834456.02027,1682642.60818,6876.7554,6740791.91868,19590.32359,63485.91362,10062.91847,281109.64,91850.11851,432795.81695,379474.30377,351629,0.28,34,
34,01,,270,4,2017,,"ПАТ ""БАНК КРЕДИТ ДНІПРО""",2677707.01444,2842943.93085,4784.37211,1480219.70652,9394.47484,860486.5434,31523.91445,1250.10252,1041.27568,3519043.58561,1647718.4541,305749,-1.61,35,
