,"Інші фінансові активи, що обліковуються за справедливою вартістю через прибуток або збиток",Грошові кошти та їх еквіваленти,"Кошти в інших банках_Кошти в інших банках, усього","Кошти в інших банках_Кошти в інших банках, усього__у тому числі в іноземній валюті",Кошти в інших банках_Резерви під знецінення коштів в інших банках,Кошти обов’язкових резервів банку в НБУ,"Кредити та заборгованість клієнтів_Кредити та заборгованість клієнтів, усього","Кредити та заборгованість клієнтів_Кредити та заборгованість клієнтів, усього__у тому числі:_ юридичних осіб_кредити та заборгованість юридичних осіб, усього","Кредити та заборгованість клієнтів_Кредити та заборгованість клієнтів, усього__у тому числі:_ юридичних осіб_кредити та заборгованість юридичних осіб, усього__у тому числі в іноземній валюті",Назва банку,Торгові цінні папери,№ з/гр,№ з/п,Кредити та заборгованість клієнтів_юридичних осіб_резерви під знецінення кредитів та заборгованості клієнтів,"Кредити та заборгованість клієнтів_фізичних осіб_кредити та заборгованість фізичних осіб, усього","Кредити та заборгованість клієнтів_фізичних осіб_кредити та заборгованість фізичних осіб, усього__у тому числі в іноземній валюті",Кредити та заборгованість клієнтів_фізичних осіб_резерви під знецінення кредитів та заборгованості клієнтів,Цінні папери в портфелі банку на продаж,Цінні папери в портфелі банку на продаж__у тому числі резерви під знецінення цінних паперів у портфелі банку на продаж,Цінні папери в портфелі банку до погашення,Цінні папери в портфелі банку до погашення__у тому числі резерви під знецінення цінних паперів у портфелі банку до погашення,Інвестиції в асоційовані та дочірні компанії,Інвестиційна нерухомість,Дебіторська заборгованість щодо поточного податку на прибуток,Відстрочений податковий актив,Основні засоби та нематеріальні активи,Інші фінансові активи,Інші фінансові активи__у тому числі резерви під інші фінансові активи,Інші активи,Інші активи__у тому числі резерви під інші активи,"Необоротні активи, утримувані для продажу, та активи групи вибуття",Усього активів,YEAR,MONTH,QUARTER,NKB,№п/п,NKB_Банки з державною часткою,МФО,Банк   ,"Фінансові активи, що обліковуються за справедливою вартістю через прибуток або збиток",Кошти в інших банках,Кошти в інших банках__у тому числі в іноземній валюті,резерви під знецінення коштів в інших банках,Кредити та заборгованість клієнтів,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів__у тому числі кредити та заборгованість фізичних осіб,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів__у тому числі кредити та заборгованість фізичних осіб__у тому числі в іноземній валюті,Кредити та заборгованість клієнтів__у тому числі кредити та заборгованість юридичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів__у тому числі кредити та заборгованість фізичних осіб__у тому числі в іноземній валюті__у тому числі резерви під знецінення кредитів та заборгованості клієнтів,резерви під знецінення цінних паперів у портфелі банку на продаж,резерви під знецінення цінних паперів у портфелі банку до погашення,резерви під інші фінансові активи,резерви під інші активи,Резерви під знецінення цінних паперів у портфелі банку на продаж,Резерви під знецінення цінних паперів у портфелі банку до погашення,Резерви під інші фінансові активи,Резерви під інші активи,"Кошти в інших банках_Кошти в інших банках, усього__в іноземній валюті",Кошти в інших банках_резерви під знецінення коштів в інших банках,"Кредити та заборгованість клієнтів_Кредити та заборгованість клієнтів, усього__у тому числі:_ юридичних осіб_кредити та заборгованість юридичних осіб, усього__в іноземній валюті","Кредити та заборгованість клієнтів_фізичних осіб_кредити та заборгованість фізичних осіб, усього__в іноземній валюті",Цінні папери в портфелі банку на продаж__у тому числі:_резерви під знецінення цінних паперів у портфелі банку на продаж,Цінні папери в портфелі банку до погашення__у тому числі:_резерви під знецінення цінних паперів у портфелі банку до погашення,Інші фінансові активи__у тому числі:_резерви під інші фінансові активи,Інші активи__у тому числі:_резерви під інші активи,Усього активів__ в іноземній валюті,Банк  ,№ п/п,NRB_Банки з державною часткою,БАНК  , Грошові кошти та їх еквіваленти,"Кошти в інших банках, у т. ч.:","Кошти в інших банках, у т. ч.:__ в іноземній валюті"," Кредити та заборгованість клієнтів, у т. ч.:"," кредити та заборгованість юридичних осіб, у т. ч.:"," кредити та заборгованість юридичних осіб, у т. ч.:__ в іноземній валюті", резерви під знецінення кредитів та заборгованості клієнтів,"кредити та заборгованість фізичних осіб, у т. ч.:","кредити та заборгованість фізичних осіб, у т. ч.:__ в іноземній валюті",резерви під знецінення кредитів та заборгованості клієнтів," Цінні папери в портфелі банку на продаж, у т. ч.:","Цінні папери в портфелі банку до погашення, у т. ч.:", Інвестиції в асоційовані та дочірні компанії," Інші фінансові активи, у т. ч.:", резерви під інші фінансові активи," Інші активи, у т. ч.:", резерви під інші активи," Необоротні активи, утримувані для продажу, та активи групи вибуття","Усього активів, у т. ч.:","Усього активів, у т. ч.:__в іноземній валюті",Банк
1005,449.61656,99059.759,162320.25719,11713.86762,-1549.27858,1804.45399,940612.63235,829325.8697,85942.77365,БАНК МИХАЙЛІВСЬКИЙ,44887.20725,34,89,-151.10983,111286.76265,0,-15200.75782,0,0,0,0,0,0,0,3508.97331,43075.8431,6846.29063,-121.47687,49018.41648,-13039.13645,0,1351583.44986,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,0,1714.39429,14054.47781,0,-14874.15906,0,1078194.28956,1069342.91904,107431.19032,АВТОКРАЗБАНК,64680.1084,35,90,-40194.3377,8851.37052,2890.58782,-15812.65334,19563.63,-300,0,0,0,7491.23023,391.92525,1292.62675,18852.8988,840.6059,-53.14249,108380.41166,-46.60432,22678.40426,1338135.00291,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,0,139888.58293,0,0,0,4464.30522,213116.30904,210497.19692,22411.29095,КРЕДИТПРОМБАНК,0,36,91,-5812.53474,2619.11212,0.947969999999998,-1785.2003,91246.0499,-6854.38357,0,0,0,89295.22034,4401.33898,55044.01984,6018.36598,214662.71796,-2487.97298,2285.50006,-145.59764,471673.17067,1292095.58092,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,0,308505.2257,57549.16043,43410.71954,-560.60808,5805.95201,675656.38298,597496.42994,247763.65486,УКРГАЗПРОМБАНК,77307.49172,37,92,-29549.15881,78159.95304,24019.84478,-6053.69261,228.09045,-6.25,1138.69696,0,0,35436.809,428.82168,302.6242,23663.58111,3295.62783,-542.04282,1881.38874,-76.89555,68291.81571,1259491.66852,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,651.0153,291212.77277,749.1272,749.1272,-7.56694,4948.83776,878476.251,555400.39748,175691.53082,РАДИКАЛ БАНК,223.02431,38,93,-29411.42225,323075.85352,2394.20829,-3732.72268,0,0,0,0,0,60924.662,146.23,0,15157.73151,1332.52341,-113.77403,3560.81192,-513.79668,0,1257382.98718,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,0,7208.74453,0,0,0,19.62569,695678.85334,694955.99746,0,УНIКОМБАНК,0,39,94,-10511.0317,722.855879999999,-9.99999997475243E-06,-15209.37024,0.1,0,0,0,0,0,320.41234,0,4278.89305,487039.65235,-42292.20523,409.53555,0,0,1194955.81685,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,0,196724.43219,243269.74924,243269.74924,-36.48284,7546.6801,585267.87707,506129.55921,283451.36672,КОМІНВЕСТБАНК,0,40,95,-21701.02563,79138.31786,1332.86624,-4047.43331,0,0,0,0,0,3885.55719,0,0,64590.42017,7892.65121,-86.96537,4247.34488,0,10823.67307,1124248.38512,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,281.64856,151607.4105,86532.80169,86532.80169,-1190.2683,8451.90427,687642.56639,657556.1968,215745.81468,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,0,41,96,-5658.61993,30086.36959,7591.12942,-38695.85383,55943.75145,-428.09957,0,0,5152,25186.3968,807.535,7754.07103,33660.47314,15129.16124,-423.48143,18361.77862,-1179.83918,0,1096511.49869,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,0,25508.36466,107237.52506,99612.56443,-29.94778,21829.21952,712791.74606,639398.14446,256357.0667,"""ЛЬВІВ""",54867.95663,42,97,-63803.86254,73393.6016,22513.35449,-7035.14531,0,0,75160.29907,0,0,0,1800.666,0,52811.27273,1779.77002,-38.22934,40029.91434,-265.05323,0,1093816.73409,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,0,205357.60674,150426.66978,9801.55383,-15285.3517,5494.70985,597566.08246,573300.37064,31881.64467,IНТЕГРАЛ - БАНК,0,43,98,-49792.0269,24265.71182,3520.41866,-4606.08187,61,-70,0,0,0,33202.31329,8.07461,707.79744,2908.81837,95778.34969,-1991.63663,564.4312,-40.90608,0,1092075.85343,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,0,75156.17006,13401.91509,13401.91509,-135.81608,8537.08781,654431.7812,640282.85695,465102.4683,БАНК ПЕТРОКОММЕРЦ-УКРАЇНА,0,44,99,-43347.9105,14148.92425,5594.63107,-11351.11172,215769.70484,0,0,0,0,17239.13765,827.61248,1948.4441,4826.97455,7290.15817,-1638.40174,710.95231,-34.33578,46007.5515,1046147.48976,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,7186.92419,55078.31625,0,0,0,484.69981,963057.85245,956329.04764,4055.55062,"""АКСІОМА""",7034.44,45,100,-169987.53531,6728.80481,0,-2239.12918,0,0,0,0,0,0,325.24132,0,1882.79645,174.37261,-796.63596,409.86037,-0.01415,0,1035634.50345,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,0,116438.23122,2199.38924,318.48512,0,4736.36939,744052.9886,665042.67159,263599.06977,БАНК ГРАНТ,0,46,101,-6148.54606,79010.31701,7773.54371,-1596.47009,3410.01,-9.9039,0,0,0,0,102.249,57.456,40282.98226,4853.18355,-429.1219,730.08457,-21.58639,20446.1,937309.04383,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,0,4700.41291,0,0,0,7433.70658,828065.71397,645897.13533,116710.34472,БАНК ЗОЛОТІ ВОРОТА,0,47,102,-46615.52955,182168.57864,53188.75426,-20361.13345,0,0,0,0,0,1343.14153,804.697,304.97185,52661.34866,14280.02323,-181.3897,1436.96827,-4.06135,6913.36,917944.344,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,0,142119.74435,69086.75358,47520.68742,-9826.00049,3332.21955,661901.61606,625835.03316,160740.01224,"""ПРЕМIУМ""",0,48,103,-63498.76005,36066.5829,0,-1927.95326,0,0,0,0,0,0,894.708,631.42547,32259.42456,6607.60727,-349.73971,794.52158,-3.0032,0,917628.02042,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,0,202450.17122,0,0,0,6156.19884,684535.49583,684535.49583,212986.45388,СЕБ КОРПОРАТИВНИЙ БАНК,0,49,104,-41.53536,0,0,0,0,0,0,0,0,0,0,526.168,9366.32491,695.05907,-24.65278,4440.65854,-0.99556,0,908170.07641,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,0,123969.95866,103179.7629,94386.05209,-1042.21966,1482.28426,647706.33264,626043.81318,0,ЮНІОН СТАНДАРД БАНК,0,50,105,-117813.35439,21662.51946,0,-1878.04652,0,0,22663.44635,-41062.17481,0,205.15936,85.523,3.78061,3614.43348,2932.07269,-417.66714,2003.16635,-70.75466,0,907845.9203,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,0,686052.6678,17265.27315,0,-15844.63452,0.23457,0,0,0,"""РОЗРАХУНКОВИЙ ЦЕНТР""",30332.9,51,106,0,0,0,0,5,0,0,0,56265,0,2004.82499,28.916,98019.4855,941.30032,-915.14576,354.82289,-17.40185,0,891270.42522,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,0,1960.69817,40798.17884,37167.05634,-351.8557,6380.01301,795343.16911,790048.46262,421606.45392,ЄВРОПРОМБАНК,0,52,107,-62256.77051,5294.70649,0,-1673.23587,0,0,0,0,0,0,0,12.666,29690.47829,72.44545,-68.25589,146.95501,0,0,874404.60388,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,0,756.83168,18.1080599999987,18.208059999999,-86353.82954,1019.36175,633155.37657,624609.32297,6211.90866,ПРОМЕКОНОМБАНК,0,53,108,-94085.72785,8546.05360000001,3479.5671,-42775.88966,10835.91,0,0,0,0,0,197.547,4533.5838,12149.3203,714.66643,-15.34746,120847.64227,0,70596,854824.34786,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,53130.36121,143640.88097,68838.65267,35138.65267,0,3493.20764,291363.55999,256086.37293,35573.03122,БАНК КОНТРАКТ,144635.11136,54,109,-30699.91767,35277.18706,38.95083,-909.02758,0,0,0,0,0,2467.76666,132.183,293.28991,43068.37905,6742.26222,-5779.52192,5835.28274,-8.44916,51954.1931,815595.13052,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,0,114041.23005,4238.89364,4138.86076,0,1695.48445,390952.33666,352463.74777,137557.34433,БАНК ЮНІСОН,0,55,110,-7140.98562,38488.58889,0,-195.32241,163337.99671,0,0,0,0,0,214.07706,520.047,99124.45722,2482.64043,-220.68201,1713.4909,-531.06658,0,778320.65412,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,22622.7,232967.9528,0,0,0,765.27925,476492.30101,474188.52405,5.39228000000003,БАНК АЛЬЯНС,0,56,111,-16896.67769,2303.77696,1939.56356,-3241.08624,21629.8356,0,0,0,0,0,30.8,0,4541.26358,135.47482,-3.40905,928.32093,-2.99169,0,760113.92799,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,0,135889.43746,81772.9501,54900.92713,-6856.45884,4397.04892,473601.82423,390823.70967,192352.33862,АПЕКС-БАНК,0,57,112,-25051.97628,82778.11456,0,-993.28557,0,0,0,0,0,0,2376.74296,328.225,3677.8082,48400.26299,-0.1184,2108.76229,-9.53616,1441.54325,753994.6054,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,217.8547,165223.35071,59750.24655,59203.86208,-62.39129,2398.14706,440709.02751,438163.58047,39304.26529,"""СТАНДАРТ""",0,58,113,-3186.34577,2545.44704,0,-46.69803,60568.68576,0,0,0,0,0,179.732,928.90736,7084.707,1467.69847,-45.95843,1517.59568,-75.77669,0,740045.9528,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,63.18288,62274.90024,8520.32969,7793.14576,-9.76651,2469.41071,545977.81405,488864.24738,83995.13279,МЕТАБАНК,0,59,114,-11780.18292,57113.56667,17043.35984,-16116.98961,1271.971,-94.31951,7000,0,0,12882.97712,1749.30242,0,51773.58302,1265.61927,-801.25323,2024.03259,-138.8817,1691.53954,698964.66253,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,0,32752.36812,85176.36997,85176.36997,0,2313.77919,489050.59818,177350.91648,176953.6955,БАНК ТРАСТ,0,60,115,-111.6887,311699.6817,25393.04114,-31837.3325,0,0,0,0,0,33703,14.276,516.58028,47386.00059,3900.93681,-21.66393,3481.2022,-69.0016,0,698295.11134,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,0,71400.25109,0,0,0,3966.87684,509004.82807,502404.25095,59988.64866,"""НОВИЙ""",1779.8725,61,116,-1157.70394,6600.57712,2061.75591,-2240.60262,24984.9485,-1,0,0,0,11325.95584,161.062,2792.962,5277.99257,39663.92526,-181.50889,4557.51564,-43.764,22037.34084,696953.53115,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,0,116652.67,86555.55223,82174.46625,-503.12469,2140.608,298452.15422,249543.12743,8282.15586,АГРОКОМБАНК,59907.86956,62,117,-1681.28236,48909.02679,2689.77114,-11239.4643,60,0,0,0,0,0,588.902,38.466,90780.01237,4434.13672,-555.04309,411.16006,0,6105.84045,666127.37161,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,0,369522.0286,0,0,0,64.36064,0,0,0,ОМЕГА БАНК,0,63,118,0,0,0,0,1,-785.10905,0,0,0,18812.5,3223.61385,260931.32503,1217.27091,140.18915,-788.95828,3078.81699,-315.14764,7636.80535,664627.91052,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,0,84422.23004,25001.96547,22228.04348,0,3161.40516,366417.73971,328697.55267,171440.37424,ЛЕГБАНК,0,64,119,-4253.15439,37720.18704,0,-4665.6291,55499.45106,-5,0,0,0,0,465.08329,0,34456.66907,25018.36179,-16.25581,620.40173,-33.42303,67267.914,662331.22132,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,0,27222.29986,13445.5324,13445.5324,-1200.46504,2309.92906,572982.63018,570651.51654,136307.12634,БАНК СОФІЙСЬКИЙ,0,65,120,-4840.33009,2331.11364,0,-128.97171,0,0,0,0,0,0,0,0,7565.80169,3006.31591,-0.73073,513.74298,-26.11117,0,627046.25208,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,0,60275.76318,224738.16415,82694.10561,-656.08358,2173.51855,180019.71484,134497.39235,30148.23792,БАНК УКРАЇНСЬКИЙ КАПІТАЛ,24259.61427,66,121,-9376.08752,45522.32249,19343.64802,-15004.19812,18153.71,0,0,0,0,31809.98429,64.005,487,61371.23714,1967.59435,-16.95618,706.58077,-76.47723,6623.11426,612650.0008,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,0,183571.36454,0,0,0,2847.39353,376096.61052,363940.85498,177900.75624,IНВЕСТБАНК,73.74158,67,122,-8310.15342,12155.75554,56.36579,-1124.40437,60,0,0,0,0,17763.96774,1180.0082,8.34137,21058.94378,1982.95491,-50.08487,880.28545,-5.67238,1753.16261,607276.77423,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,0,27936.28611,38647.68044,17783.00405,-2466.87318,5303.69735,138346.17476,48360.67739,36424.19278,"""ФІНАНСОВИЙ ПАРТНЕР""",0,68,123,-561.02561,89985.49737,0,-2559.25353,343308.49901,0,0,0,0,0,0,34.37311,46417.39165,1398.92028,0,682.20016,0,0,602075.22287,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,0,131139.04294,0,0,0,3113.00493,412549.75306,400334.07676,244986.47375,АКОРДБАНК,0,69,124,-1565.12832,12215.6763,6029.90646,-239.89824,40703.356,0,0,0,0,0,229.93875,356.50319,5721.27699,3708.85139,-107.30143,296.21341,0,0,597817.94066,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,0,43371.40804,111577.84206,60570.67346,-6243.0171,2435.82246,320051.1871,317368.4258,147197.09997,БАНК СІЧ,0,70,125,-2611.84927,2682.7613,0,-97.89061,36065.21694,0,0,0,0,0,258.111,0,35302.15265,35283.75383,-1.10203,5817.78471,-53.36233,0,590163.27879,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,0,476.41557,236.46692,236.46692,0,0,424440.26195,364576.17492,19027.89613,ЗАХІДІНКОМБАНК,0,71,126,-177488.96488,59864.08703,45177.81539,-93349.24687,30150.3,0,0,0,0,0,1614.69505,0,13282.37713,115349.15777,-153.79125,2504.96868,-1123.09876,0,588054.64307,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,127.59779,212825.12232,29981.7242,0,0,587.64557,265058.27417,240913.65339,0,ПРОФІН БАНК,0,72,127,-41.81476,24144.62078,7694.22792,-1673.77661,0,0,0,0,0,10135.2,1072.768,543.76999,33320.93862,1727.72046,-0.498,1344.3286,-15.12977,962.4,557687.48972,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,0,7543.93766,0,0,0,522.94264,176072.74443,156422.61678,18788.83125,"""УКООПСПІЛКА""",266938.51336,73,128,-16440.45425,19650.12765,2370.1733,-6882.72616,0.043,0,0,0,0,0,39.2421,1118.80763,21185.38297,66390.084,-23.48887,217.39442,-2.4,0,540029.09221,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,0,50846.93903,74706.94549,74706.94549,-3062.40946,1406.93252,333447.40264,328008.98335,8333.39021,ПОЛІКОМБАНК,0,74,129,-24255.473,5438.41929,228.08583,-1314.44118,1209.62248,-1982.37087,0,0,0,9061.647,38.458,0,55816.30268,770.42365,-227.16135,3293.34106,-33.70121,536.7141,531134.72865,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,0,232392.82019,107631.7585,53053.06434,-7.33228,3475.9069,116723.07759,108693.65024,0,ВЕРНУМ БАНК,0,75,130,-7378.79741,8029.42735,0,-302.99535,40016.8364,0,0,0,0,0,421.082,29.1146,24540.58842,606.58133,-2.37558,1148.68715,-13.91313,0,526986.45308,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,0,56204.63372,27945.68809,27329.02045,-0.02962,2528.99164,372516.22185,372076.05805,267407.85996,КРЕДИТВЕСТ БАНК,0,76,131,-4297.86168,440.1638,155.2054,-167.35885,0,0,35022.60273,0,0,0,1861.932,8.6793,1484.95803,1078.14548,-23.63592,640.64791,-1.4905,13703.12703,512995.62778,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,0,40734.70137,0,0,0,262.2749,457813.40586,455206.49265,62901.8995,"""СТОЛИЧНИЙ""",0,77,132,-79291.46245,2606.91321,0,-628.87277,2.03819999999999,-84.28055,0,0,0,0,234.1975,0,10911.98293,25.47594,0,385.07089,0,0,510369.14759,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,131.1765,34373.80319,170.07874,147.00374,0,2166.63984,330637.85685,298050.55249,30525.63006,БАНК БОГУСЛАВ,0,78,133,-71252.96688,32587.30436,634.6408,-1426.98737,103282.85619,0,0,0,0,4992.00722,0,142.47763,18179.2101,10927.64085,-47.06431,1447.34469,-11.70129,0,506451.0918,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,0,84814.62685,26039.974,26039.974,0,2478.77025,345009.69652,306865.31514,149093.15435,ОКСІ БАНК,22600.80096,79,134,-7163.09213,38144.38138,2909.40236,-590.42263,0,0,0,0,0,0,0,0,4423.19888,310.06339,-7.97783,3187.68546,-4.54875,2960.7,491825.51631,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,0,245968.15773,27951.74349,0,-2081.3201,1540.48316,192382.09996,188504.01265,0,ПРАЙМ-БАНК,0,80,135,-7038.44062,3878.08731,285.28989,-4717.9746,1669,0,0,0,0,0,50,0,12436.20758,0.002,0,393.05593,-47.16042,0,482390.74985,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,0,23551.40414,147283.86606,146689.86606,-782.00293,2091.75997,236391.03554,206298.94643,19107.90848,АРТЕМ-БАНК,0,81,136,-1161.61128,30092.08911,15494.74003,-4539.97881,59384.528,-104.14588,0,0,0,0,59.53074,16.004,1218.59485,77.6411,-3.34823,4440.41288,-992.02406,0,474514.77728,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,0,50426.40699,28380.75974,28380.75974,0,1027.87989,382730.82697,335217.09854,38230.86189,АСВІО БАНК,0,82,137,-10556.53194,47513.72843,0,-29672.43586,0,0,0,0,0,0,601.948,10.9731,7408.27709,5.04177,-9.5844,1057.84505,-10.74391,0,471649.9586,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,0,69696.01336,0.00416,0.00416,-0.0192,1284.12081,391336.7307,390540.49407,6937.89225,ІНТЕРКРЕДИТБАНК,0,83,138,-30662.45651,796.23663,0,-42.69992,0,0,0,0,0,0,0,330.82766,4894.19947,22.3735,-6.88826,1843.70253,-1768.19106,0,469407.97219,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,0,111004.98691,89443.08023,54308.18602,-1702.03636,1198.40893,219152.88412,213207.46966,43846.76299,РАДАБАНК,0,84,139,-7832.65432,5945.41446,0,-91.53131,6136.69896,-0.39,7017.45207,0,0,4454.29546,0,146.318,15328.13569,3554.42693,-4.61405,1004.83506,-37.31646,56.068,458497.59036,2014,07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
