id,name,type,Грошові кошти та їх еквіваленти,Кошти обов’язкових резервів банку в НБУ,Торгові цінні папери,"Інші фінансові активи, що обліковуються за справедливою вартістю через прибуток або збиток","Кошти в інших банках, усього","кредити та заборгованість юридичних осіб, усього","кредити та заборгованість фізичних осіб, усього",Цінні папери в портфелі банку на продаж,Цінні папери в портфелі банку до погашення,Інвестиції в асоційовані та дочірні компанії,Інвестиційна нерухомість,Дебіторська заборгованість щодо поточного податку на прибуток,Відстрочений податковий актив,Основні засоби та нематеріальні активи,Інші фінансові активи,Інші активи,"Необоротні активи, утримувані для продажу, та активи групи вибуття",Кошти банків,"кошти юридичних осіб, усього","кошти фізичних осіб, усього","Боргові цінні папери, емітовані банком",Інші залучені кошти,Зобов’язання щодо поточного податку на прибуток,Відстрочені податкові зобов’язання,Резерви за зобов'язаннями,Інші фінансові зобов’язання,Інші зобов’язання,Субординований борг,Зобов’язання групи вибуття,Статутний капітал,Емісійні різниці,Незареєстровані внески до статутного капіталу,Нерозподілений прибуток (непокритий збиток),Резервні та інші фонди банку,Резерви переоцінки,Процентні доходи,Процентні витрати,Чистий процентний дохід/(Чисті процентні витрати),Комісійні доходи,Комісійні витрати,Результат від операцій з цінними паперами в торговому портфелі банку,Результат від операцій з хеджування справедливої вартості,"Результат від переоцінки інших фінансових інструментів, що обліковуються за справедливою вартістю з визнанням результату переоцінки через прибутки або збитки",Результат від продажу цінних паперів у портфелі банку на продаж,Результат від операцій з іноземною валютою,Результат від переоцінки іноземної валюти,Результат від переоцінки об'єктів інвестиційної нерухомості,"Доходи/(витрати), які виникають під час первісного визнання фінансових активів за процентною ставкою, вищою або нижчою, ніж ринкова","Витрати/(доходи), які виникають під час первісного визнання фінансових зобов'язань за процентною ставкою, вищою або нижчою, ніж ринкова",Відрахування до резерву під знецінення кредитів та коштів в інших банках,Відрахування до резерву під знецінення дебіторської заборгованості та інших фінансових активів,Знецінення цінних паперів у портфелі банку на продаж,Знецінення цінних паперів у портфелі банку до погашення,Відрахування до резервів за зобов'язаннями,Інші операційні доходи,Адміністративні та інші операційні витрати,Частка в прибутку/(збитку) асоційованих компаній,Прибуток/(збиток) до оподаткування,Витрати на податок на прибуток,Прибуток/(збиток),Переоцінка цінних паперів у портфелі банку на продаж,Переоцінка основних засобів та нематеріальних активів,Результат переоцінки за операціями з хеджування грошових потоків,Частка іншого сукупного прибутку асоційованої компанії,"Податок на прибуток, пов'язаний з іншим сукупним доходом",Інший сукупний дохід після оподаткування,Усього сукупного доходу
130,ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК,0,1970.699,0,0,0,0,189549.5,0,0,0,0,0,0,5.19024,184.6953,0.09,52.38048,0,0,61232.46,0,0,0,10.68836,0,420,112.5,32.82939,0,0,129000,0,0,954.085,0,0,15447.58,-6697.67,8749.91,284.7145,-66.1614,0,0,0,948.9991,0,0,0,0,0,-969.512,-0.2,0,0,-420,0,-5954.64,0,2573.106,-5.49812,2567.607,0,0,0,0,0,0,2567.607
174,ФІНАНС БАНК,0,7167.097,0,0,0,78957.38,127986.5,1697.978,7468.947,0,0,19323.18,355.571,30.82308,18586.42,24.6046,713.5136,0,40151.15,15586.63,2467.409,0,0,1098.288,26.20815,10.5,27.77253,381.1848,0,0,176000,5764.93,0,445.127,19983.38,369.4162,28778.08,-4319.49,24458.6,1168.675,-50.9935,822.4088,0,-68.6592,1219.401,168.6648,922.6805,0,0,0,-10119.6,26.50806,0,0,552.8229,2465.951,-19980.3,0,1586.187,-1141.06,445.127,652.0269,541.2252,0,0,-26.2082,1167.044,1612.171
3987,НАДРА,0,437954.4,27881.87,0,0,472618.8,13723386,17373322,905.003,0,0,305465.5,281.905,0,1500089,1330033,262709.5,443296,13251179,5394859,5606935,426.4497,3555784,0,16787.82,80.90897,2355203,63017.81,2248161,0,3890363,638909.6,394213.9,-1726864,319.7021,188567.4,2315396,-2790474,-475078,298778.4,-76123.6,-423187,0,0,-8897.54,-196708,4494639,0,0,0,-3152676,-15916.5,0,0,3778.706,116884.5,-1460199,0,-894705,-146299,-1041004,0,0,0,0,0,0,-1041004
3988,НАЦІОНАЛЬНИЙ КРЕДИТ,0,206832.8,0,41486.9,631.8168,476861.9,1376477,185893.7,0,0,0,0,154.908,984.9831,102660.6,61952.39,45753.84,0,87133.13,959079.9,1062082,0,19360.06,0,0,716.4512,46603.51,7975.507,126000,0,208310.8,54132.07,0,-111016,39313.65,0,282272.5,-264386,17886.38,222237.3,-10602,-1170.46,0,-16238.5,0,12699.84,31665,0,0,0,-23495.7,1477.342,0,0,2105.989,24389.8,-258130,0,2824.838,-1610.6,1214.234,0,0,0,0,0,0,1214.234
3989,НАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,0,395595.2,0,0,0,472594.6,3157378,586083.8,83286.82,87327.09,0,0,441.105,27.562,3631.101,148.8973,823.912,0,569196.8,1819840,1823267,2.74998,0,0,0,1099.178,55198.38,10072.43,202166.6,0,161000,0,80000,3062.421,62952.62,-519.777,529792,-457264,72528.43,87818.01,-1546.92,0,0,78657.48,40.04832,30120.61,-103530,0,0,0,-71903,0,-10.8005,-1012.19,-978.397,353.8245,-85208.2,0,5328.901,-2266.48,3062.421,0,0,0,0,0,0,3062.421
3990,ОМЕГА БАНК,0,459862.9,0,0,0,0,0,0,1,0,0,31353.46,3223.614,260931.3,622.7948,101.5074,1220.931,10928.08,157560.4,6428.888,1694.049,0,0,0,0,62.87051,1054.731,1295.49,525151.2,0,5750928,0,0,-5675994,0,63.88084,1.1704,-28133.8,-28132.6,731.2325,-79.862,0,0,0,30.85,-15.9515,-26814.2,5145.989,0,0,34587.63,237.7829,1,0,0,6182.695,-24395.8,0,-32521.2,0,-32521.2,0,0,0,0,0,0,-32521.2
3991,ПЕТРОКОММЕРЦ-УКРАЇНА,0,96887.88,0,0,0,17875.3,658354.7,15055.69,274270,0,0,12945,771.9035,39.70326,4232.46,6186.8,1025.845,29471.34,207198.1,168489.9,369661.5,0,0,0,0,0,18390.42,6751.029,165569.8,0,319474.5,124.4496,0,-188359,42957.97,6858.134,108221.6,-66379.6,41841.99,28184.01,-4115.66,0,0,-6004.64,-181.692,-90169,110597,0,0,0,-6013.92,-1558.26,0,0,0,29016.62,-73383.3,0,28213.11,-863.202,27349.91,6683.74,0,0,0,-1337.46,5346.279,32696.19
3993,ПОРТО-ФРАНКО,0,4132.124,0,0,0,0.51747,305525.1,24528.87,0,0,0,16892.59,337.557,58.532,46121.4,36483,322.4138,1686.408,37768.44,65120.17,442398.9,0,261998.4,0,0,5.50452,27501.11,6993.58,29807.78,0,120053.6,0,0,-563801,8157.983,84.13294,96991.81,-72228.1,24763.73,5896.017,-1434.24,0,0,0,-1363.26,9103.015,46407.31,0,0,0,-646014,-20.2586,0,0,100.8151,29636.98,-32015.6,0,-564940,-84.384,-565024,0,0,0,0,0,0,-565024
3995,ПРЕМІУМ,0,384316.3,0,0,501.7063,84618.62,957341.8,23529.22,0,0,0,0,321.808,483.4308,32312.05,37531.35,611.3523,0,110634.3,328071.5,522416.4,0,0,518.524,0,4558.652,286201.3,2846.447,0,0,260000,0,0,-1703.4,8023.972,0,153011.5,-69160.3,83851.16,55511.68,-6545.15,0,0,-7711.33,0,-33063.8,36562.31,0,0,0,-91367.9,-170.76,0,0,-3928.96,2046.559,-31774,0,3409.849,-1586.84,1823.01,0,0,0,0,0,0,1823.01
3997,ПРОФІН БАНК (Банк професійного інвестування),0,83805.6,0,0,2077.197,3153.449,295780.6,22856.14,0,0,0,2383.2,1009.768,664.4527,82167.23,3139.444,29718.73,962.4,3133.894,186205,204735.4,0,23.61164,0,0,0,1271.727,2010.225,0,0,121442.1,5535.066,0,-16894,13361.36,6893.869,80135.16,-51225.6,28909.52,10886.03,-1170.31,0,0,5324.108,0,1244.889,-5514.95,0,0,0,-4433.73,-7.34973,0,0,31.12395,3197.295,-35273.5,0,3193.176,-1.28,3191.896,0,0,0,0,-4.03732,-4.03732,3187.859
3998,РАДИКАЛ БАНК,0,342818.4,0,143.17,1960.2,999.0957,765925.3,351274.1,0,0,0,60924.66,319.27,0,14896.38,1195.874,2888.491,0,0,823584.9,417611.9,0,83597.1,0,1967.599,2025.063,18269.02,3708.111,23676.71,0,120000,0,0,47723.16,1181.403,0,165226.5,-109358,55868.15,35405.19,-7908.64,-24510.1,0,-25352,47.16951,68783.59,-8279.71,49467.64,0,0,-19491.5,188.8041,0,0,-627.328,2193.571,-100726,0,25058.84,217.669,25276.51,1959.026,0,0,0,217.669,2176.695,27453.21
4000,СОФІЙСЬКИЙ,0,138118.1,0,0,0,50322.11,599741.7,1047.442,0,0,0,0,0,0,31063.73,4188.762,1037.403,0,41896.63,296660.3,286498.7,0,0,60.00184,0,159.0007,17568.01,1231.435,60510.06,0,120000,0,0,441.0769,494.0468,0,87299.28,-60620.5,26678.81,16773.38,-1057.39,0,0,0,0,-9950.11,1468.888,0,0,0,-8778.96,2.596,0,0,-147.72,14.05576,-24449,0,554.5948,-113.518,441.0769,0,0,0,0,0,0,441.0769
4001,СОЮЗ,0,159316.8,0,29003.25,0,4939.046,1672826,14592.9,104329.9,0,0,0,3012.879,11.91472,5998.64,7702.627,1419.614,0,254077.6,924254.8,249123.2,368.182,0,0,974.0645,2658.985,462.3004,683.6007,221915.2,0,336000,0,0,1547.1,10572.22,516.5508,391118.1,-267423,123695,24606.45,-6606.59,4500.125,0,-54155.4,418.2744,51295.8,-8078.04,0,0,0,21550.62,-6.40444,0,0,14601.75,267190.2,-433888,0,5124.037,-3576.94,1547.1,180.5006,0,0,0,-32.4901,148.0105,1695.111
4003,СТАНДАРТ,0,307793.9,0,0,0,37778.17,794136.8,16477.46,0,0,0,0,0.00044,928.9074,10761.95,11251.98,1442.655,0,264358.2,197650.7,504960.7,0,145.5288,1178.803,0,187.7462,7274.34,6372.889,72212.97,0,125000,0,0,1049.628,180.3589,0,135075.4,-90356.8,44718.67,82715.75,-3888.23,0,0,22543.02,234.8635,9724.719,-53422.6,0,0,0,-21274.2,-803.506,0,0,124.7538,843.6647,-78409.8,0,3107.186,-2057.56,1049.628,-143.206,0,0,0,25.77109,-117.435,932.193
4005,СТОЛИЧНИЙ,0,20170.47,0,0,0,0,492091.9,36617.99,2.0382,0,0,0,474.9175,27.47422,10708.63,18.70636,469.9304,0,145991.1,133850,121768.6,0,0,440,0,0,683.9378,1729.086,0,0,151335,91.2874,0,626.4947,4061.763,4.71632,98720.6,-68484.9,30235.73,5597.139,-1317.57,0,0,0,0,3249.077,-2660.61,0,0,0,-14346.7,-45.4047,0,0,0,37.47886,-19608,0,1141.183,-514.689,626.4947,0,0,0,0,0,0,626.4947
4007,ТК КРЕДИТ,0,1074247,0,0,0,0,688504.1,14081.23,31618.3,0,0,25001.2,595.3343,361.18,6235.638,13.97813,5844.08,735.6891,0,1631165,38232.31,0,0,367.854,0,0,356.5312,1884.052,3499.987,0,151828.8,5.4308,0,1092.766,18749.57,56.006,122305.2,-82187.7,40117.45,5271.149,-4955.56,0,0,127114.8,0,16798.44,-163712,1657.525,0,0,10001.18,-214.556,0,0,40.15383,91.9133,-29687.7,0,2523.21,-565.066,1958.144,20,0,0,0,-3.6,16.4,1974.544
4008,УКООПСПІЛКА,0,11609.77,0,201094.3,0,0,83833.18,4695.011,0.043,0,0,0,56.1161,587.5091,20807.28,210581.8,191.2809,0,5000,71278.37,65765.57,0,0,0,274.003,0,3090.518,662.0083,0,0,321723.7,0.37087,0,137.763,47313.34,18210.71,31510.86,-20615.4,10895.41,1848.457,-414.151,48956.38,0,-421.461,0,372.2794,2556.796,0,0,0,-45150.4,-40.3749,0,0,34.72801,57.44676,-17781.8,0,913.3874,-775.624,137.763,0,0,0,0,0,0,137.763
4009,УКРБІЗНЕСБАНК,0,19437.1,0,0,0,0,1623825,198722.3,454165.2,0,0,0,9389.803,209.5849,76935.95,4174.782,3343.074,567.922,338805.6,1040202,469072.6,0,2377.714,3118.734,2697.138,1832.391,4191.919,1688.571,316164.8,0,284160,11436.43,0,-262784,124200.3,53606.29,559013.6,-290879,268134.4,48457.13,-7578.07,0,0,22549.74,10026.62,26913.66,-6198.08,0,0,0,-482520,421.5872,0,-2262.17,2925.509,11431.02,-152373,0,-260072,-3735.99,-263808,12238.4,0,0,0,-2257.67,9980.731,-253827
4010,УКРГАЗПРОМБАНК,0,421244.5,0,78694.79,0,9568.481,614000.2,74608.1,102.6851,770.4843,0,111338.7,505.137,0,21883.05,3264.593,1443.474,31625.4,465536.6,134951.4,501953.2,306.2193,35590.25,0,510.9556,0,14168.48,4262.77,55017.97,0,124200,0,0,4326.32,19256.31,8969.091,101379,-98514.4,2864.569,22912.61,-2359.43,12537.87,0,-3873.3,0,-1376.14,9357.527,32319.92,-345.505,0,-17376.7,64.32006,0,0,0,3451.209,-57595.5,0,581.4409,-1172.38,-590.941,0,0,0,0,0,0,-590.941
4011,УКРІНБАНК,0,194355.9,0,0,0,155491.8,5246060,197793.8,528382.3,0,0,233944.4,45.827,4106.45,227008.8,69959.56,27415.24,164421,133518.7,2572604,3132273,0,78175.76,0,0,650.6959,73166.93,9843.321,263971,0,405000,11.77563,100000,21704.67,34181.64,223883.4,922083.2,-782800,139283.1,109041.8,-24503.4,0,0,0,-32732.8,36905.74,99352.53,31217.78,0,0,-143273,-22737.8,0,0,-458.329,10839.13,-193959,0,8976.656,-787.7,8188.956,0,-2470.58,0,0,0,-2470.58,5718.377
4013,УНІКОМБАНК,0,5342.381,0,0,0,0,1057813,2144.015,1373.589,0,0,0,0,0,5220.865,398505.5,1025.82,0,1471.096,973889.3,7890.508,0,0,31.82086,0,0,3506.057,561.6417,0,0,460564.4,0,0,19527.8,3982.426,0,92342.04,-77888.1,14453.97,9755.873,-358.895,0,0,0,0,8226.719,378.6558,0,0,0,10211.62,-30034.5,0,0,0,2.77295,-10317.9,0,2318.28,-663.416,1654.864,0,0,0,0,0,0,1654.864
4014,УПБ (Український професійний банк),0,631796,0,0,0,30855.5,2600966,53619.13,281045.2,0,0,101581.9,25509.04,0,24752.45,183915.4,49304.65,64427.42,1060256,795626.9,1491026,2025.687,9043.401,0,1520.292,318.8157,44675.55,11961.16,0,0,500000,9539.782,0,1320.589,114921.4,5537.571,454586,-384397,70189.18,21799.12,-4864.53,0,0,231455.1,727.0808,10135.46,-247358,50099.73,0,0,-23219.2,-399.306,2029.536,0,80.91253,12290.22,-121802,0,1163.448,157.1406,1320.589,5370.045,0,0,0,0,5370.045,6690.633
4016,ФІНАНСИ ТА КРЕДИТ,0,2336167,0,772413.9,0,9572.099,25468911,4395514,7314.084,462642.3,0,255123.2,1940.896,36852.41,123954.6,287261.5,35730.99,9572.87,6615357,6792656,15248266,0,258057.8,0,10021.99,6817.487,571576.7,72719.17,1978448,0,2800000,0,262910,-459516,0,45656.53,3318733,-3307758,10974.7,755104.3,-76522.5,36515.42,0,0,-20992.2,425202.8,150376.8,33063.87,0,0,-280232,-386.222,-218.728,-79.7158,-3010.94,58050.41,-1301969,0,-214123,-1551.45,-215674,-3.4558,8131.526,0,0,64.42699,8192.497,-207481
4019,ХРЕЩАТИК,0,1367199,0,0,717219.2,5053.888,3752563,257766,2317600,0,0,122026.6,7705.982,61367.66,146039.8,12574.64,30033.18,247197.6,1142894,2786650,3917115,0,18917.41,0,0,501.3628,69828.68,34619.84,513332.5,0,828828,0,0,-342598,52055.4,22202.3,818223.2,-894094,-75870.8,148358.1,-60107,0,0,579561.5,83401.15,158493,-484097,0,0,-2749.07,-66752.8,27.14858,0,0,-112.024,17008.92,-455253,0,-158092,16948.17,-141144,-5888.9,-110.782,0,0,0,-5999.68,-147143
4020,ЮСБ БАНК (Юніон Стандард Банк),0,152625.3,0,0,9861.255,48418.78,524808.4,46316,0,0,0,0,148.0629,3.78061,12764.91,129162.7,2302.643,0,73778.7,263009.9,232277.1,0,0,0,0,26664.89,9742.097,4935.092,0,0,247526.3,7000,0,34268.64,27209.19,0,149448.4,-43565.8,105882.6,9339.438,-1395.43,0,0,0,0,27188.37,-22130.2,0,-2409.91,0,30934.34,175.1536,0,-44030.7,-22569.4,1598.571,-48101.2,0,34481.69,0,34481.69,0,0,0,0,0,0,34481.69
4548,АВАНТ-БАНК,0,610765.6,25513.74,0,14057.29,287422.9,1255308,30373.62,284610.1,0,0,0,0.09138,896.525,249321.7,379553.5,29927.84,0,272623.9,1006176,1290285,14427,75000,490.775,0,170.3293,7222.682,7486.267,171939.9,0,321398.4,0,0,510.0012,1159.421,-1138.91,270905.7,-219559,51346.98,80705.11,-4004.41,0,0,6486.881,-1051.63,-220805,204341.1,0,0,0,-4510.48,-1744.93,0,0,-65.6632,7629.341,-115801,0,2525.828,-2015.83,510.0012,-1138.91,0,0,0,0,-1138.91,-628.909
4550,АКСІОМА,0,22582.43,0,7224.56,0,0,141079.7,1121.11,0,0,0,0,84.61432,0,2403.326,3328.507,196.4195,0,10000.55,34186.99,121586.7,0,10035.09,0,548.603,273.9787,1353.41,725.5916,0,0,316000,0,0,-326623,9932.501,0,121557.4,-40633.2,80924.17,29498.99,-5915.84,342.216,0,12641.51,0,4171.6,-6478.93,0,0,0,-423948,-1524.41,0,0,230.9,2235.643,-18203.7,0,-326026,-596.708,-326623,0,0,0,0,0,0,-326623
4553,БГ БАНК,0,5935.47,13367.89,93113.45,16664.32,11473.99,748213.9,6415.04,67481.99,0,0,153843.7,1928.557,497.1066,158292,4586.327,15249.61,3846.307,135911.4,575604.7,651743.2,0,0,342.624,2906.123,4569.29,13879.31,4118.615,230061.6,0,265000,0,0,-659462,16914.27,59320.68,206412.8,-128938,77474.69,8648.491,-4229.71,0,0,138971.6,-67905.1,-17894.5,-188501,10427.84,0,0,-571679,-3387.84,0,0,-4260.97,33801.56,-71374.6,0,-659909,446.5423,-659462,45.67001,44155.87,0,0,0,44201.54,-615261
4555,ВБР (Всеукраїнський банк розвитку),0,685884.3,0,1840724,0,24369.09,2451841,487229.1,0,0,0,0,14992.1,0,104830,1000.094,24439.5,0,0,2672558,2024646,0,0,0,0,99.94295,19570.75,26765.92,157685.6,0,722000,0,0,6013.15,5968.651,0,755374.6,-309905,445469.1,25952.46,-12582.1,23541.06,0,79207.24,0,45735.9,-92922.3,0,0,0,-294749,-1433.26,0,0,-53.8364,8249.618,-297588,0,-71172.9,-1585.34,-72758.2,0,0,0,0,0,0,-72758.2
4556,ВЕЛЕС,0,55226.43,0,0,0,29981.36,165211.8,78.75592,4157.682,0,0,881.5025,0,0,2996.88,13.90088,2648.228,0,30049.32,39613.91,6340.036,0,0,102.102,579.5828,22157.61,32835.33,27.6702,7149.973,0,105000,5247,0,350.9129,8688.294,3054.836,22188.8,861.9601,23050.76,13720.31,-10923.8,0,0,0,0,-251.132,-382.524,0,0,0,5836.402,-3.62235,-1791.24,0,-22028.8,216.0657,-6547.01,0,895.347,-544.434,350.9129,0,0,0,0,0,0,350.9129
