id,name,type,Грошові кошти та їх еквіваленти,Кошти обов’язкових резервів банку в НБУ,Торгові цінні папери,"Інші фінансові активи, що обліковуються за справедливою вартістю через прибуток або збиток","Кошти в інших банках, усього","кредити та заборгованість юридичних осіб, усього","кредити та заборгованість фізичних осіб, усього",Цінні папери в портфелі банку на продаж,Цінні папери в портфелі банку до погашення,Інвестиції в асоційовані та дочірні компанії,Інвестиційна нерухомість,Дебіторська заборгованість щодо поточного податку на прибуток,Відстрочений податковий актив,Основні засоби та нематеріальні активи,Інші фінансові активи,Інші активи,"Необоротні активи, утримувані для продажу, та активи групи вибуття",Кошти банків,"кошти юридичних осіб, усього","кошти фізичних осіб, усього","Боргові цінні папери, емітовані банком",Інші залучені кошти,Зобов’язання щодо поточного податку на прибуток,Відстрочені податкові зобов’язання,Резерви за зобов'язаннями,Інші фінансові зобов’язання,Інші зобов’язання,Субординований борг,Зобов’язання групи вибуття,Статутний капітал,Емісійні різниці,Незареєстровані внески до статутного капіталу,Нерозподілений прибуток (непокритий збиток),Резервні та інші фонди банку,Резерви переоцінки,Процентні доходи,Процентні витрати,Чистий процентний дохід/(Чисті процентні витрати),Комісійні доходи,Комісійні витрати,Результат від операцій з цінними паперами в торговому портфелі банку,Результат від операцій з хеджування справедливої вартості,"Результат від переоцінки інших фінансових інструментів, що обліковуються за справедливою вартістю з визнанням результату переоцінки через прибутки або збитки",Результат від продажу цінних паперів у портфелі банку на продаж,Результат від операцій з іноземною валютою,Результат від переоцінки іноземної валюти,Результат від переоцінки об'єктів інвестиційної нерухомості,"Доходи/(витрати), які виникають під час первісного визнання фінансових активів за процентною ставкою, вищою або нижчою, ніж ринкова","Витрати/(доходи), які виникають під час первісного визнання фінансових зобов'язань за процентною ставкою, вищою або нижчою, ніж ринкова",Відрахування до резерву під знецінення кредитів та коштів в інших банках,Відрахування до резерву під знецінення дебіторської заборгованості та інших фінансових активів,Знецінення цінних паперів у портфелі банку на продаж,Знецінення цінних паперів у портфелі банку до погашення,Відрахування до резервів за зобов'язаннями,Інші операційні доходи,Адміністративні та інші операційні витрати,Частка в прибутку/(збитку) асоційованих компаній,Прибуток/(збиток) до оподаткування,Витрати на податок на прибуток,Прибуток/(збиток),Переоцінка цінних паперів у портфелі банку на продаж,Переоцінка основних засобів та нематеріальних активів,Результат переоцінки за операціями з хеджування грошових потоків,Частка іншого сукупного прибутку асоційованої компанії,"Податок на прибуток, пов'язаний з іншим сукупним доходом",Інший сукупний дохід після оподаткування,Усього сукупного доходу
4557,ВіЕйБі Банк (Всеукраїнський акціонерний банк),0,157738.8,0,2758144,60848.49,14094.68,6439702,508867,4542.43,0,78490.33,360699.9,131.1318,318480.1,189339.5,428349.4,84651.3,22111.14,5270406,499162.3,10480621,0,1448562,0,650.7837,0,31262.23,87398.61,740776.7,0,3048619,430119.4,1000000,-12000000,16221.56,85358.2,3222824,-2791735,431089.8,113273.8,-52896.4,-34209.5,0,-120352,0,66945.28,-1614373,0,0,0,-8073821,-330933,0,0,0,52971.73,-483030,0,-10000000,-10032.9,-10000000,0,20851.45,0,0,0,20851.45,-10000000
4558,ГРІН БАНК,0,100091.7,0,0,0,718.555,105504.5,873.9236,0,0,0,0,674.0219,0,11550.78,3684.884,1916.678,0,0,101874.6,27633.01,0,0,0,0,14998.03,714.5521,1890.589,40369.6,0,76650,6.88495,0,-51212.5,12090.21,0,51179.48,-6237.23,44942.26,26813.73,-9810.92,0,0,0,0,3691.816,2114.203,0,0,0,-91061.8,-14592.5,0,0,24601.97,107.2062,-38272.3,0,-51466.2,-637.225,-52103.5,0,0,0,0,0,0,-52103.5
4559,ДЕЛЬТА БАНК,0,7882761,0,0,7459.385,535642.5,23065037,21719717,3117906,0,0,2091988,12858.16,5568.286,554164.9,691671.1,29007.09,589499.1,14292899,11653033,23974820,1073298,0,0,0,72.12773,441665.6,280169,3837609,0,3727000,0,0,46277.81,975715.5,720.3436,6388372,-7341260,-952888,3354980,-137435,0,0,753634.7,-287358,-1487095,1281383,20410.46,0,0,-1614615,-8294.82,0,0,-528353,1981456,-2326389,0,49434.5,-3156.69,46277.81,-29425.2,0,0,0,0,-29425.2,16852.57
4560,ДЕМАРК,0,3309.287,0,0,0,0,343352,6930.772,4068.998,0,0,24549.14,11.71694,0,15665,7416.068,365.9662,0,26519.41,39364.17,868814.6,0,293667.8,0,0,721.5766,2137.825,11486.95,0,0,206000,393.4322,0,-1082809,33976.28,5396.333,257137.5,-162214,94923.67,8570.662,-326.682,0,0,-246.374,-199.941,-35461.1,-26149.4,0,0,0,-1084931,142.9471,0,0,-396.95,3307.347,-42517.8,0,-1083285,0,-1083285,0,0,0,0,0,0,-1083285
4561,ЕКСПОБАНК,0,620288.6,6993.947,90742.97,665.774,335690.8,673694.9,492082.4,116.9919,0,0,451052.8,1688.61,144668.8,77067.03,61582.32,19623.29,129463.8,954975.6,1387156,1032043,0.11075,0,0.35725,75720.47,937.7567,86427.25,5201.503,223231.1,0,404231.2,0,0,-1169685,12438.46,92745.47,148319.4,-221701,-73381.5,16646.58,-42474.6,0,0,-648391,-61529.9,43460.59,391707,359789.9,0,0,-1112834,53437.52,0,0,937.7567,104203.8,-127163,0,-1095592,0,-1095592,0,0,0,0,0,0,-1095592
4562,ЕНЕРГОБАНК,0,357133.7,575.4501,108009.5,0,57661.68,974832.2,109630.6,1740.79,0,0,411836.8,267.0993,0,60090.17,5926.506,4771.091,5561.49,124822.2,678163.8,905671.7,0,27647.58,0,1507.308,857.2,40606.95,10998.95,0,0,359037.2,32.5,0,-108031,30884.34,25838.8,214678.6,-198050,16628.54,47219.27,-5111.28,21989.14,0,46000.05,0,-4725.23,-71996.4,88478.59,0,0,-26815.5,1175.001,0,0,-145.488,24331.56,-134527,0,2500.792,0,2500.792,308.0346,0,0,0,0,308.0346,2808.826
4565,ЗЛАТОБАНК,0,36184.4,46558.52,0,1513.797,52656.6,7451183,80754.89,89148.97,17758.45,0,0,298.458,772.32,24356.19,1608.575,10816.37,0,934078.8,2218747,3187066,0,65228.22,0,0,66.15322,124677.4,86181.51,687645.1,0,532500,0,0,-26796.1,4508.997,-292.723,1062899,-886331,176567.4,60086.61,-18077.3,0,0,-415264,-3684.04,-146326,634485,0,0,0,-194206,-324.165,0,0,1021.894,80253.87,-203083,0,-28549.8,-1869.81,-30419.6,0,0,0,0,0,0,-30419.6
4567,ІМЕКСБАНК,0,598114.8,35836.62,0,0,2881.704,10072260,224734.8,0,0,0,0,5471.753,0,378738.2,48274.8,12638.7,0,3437364,818980.3,5488457,0,0,0,0,0,67483.15,42977.25,157685.6,0,1440000,0,0,-186492,108701.2,3794.882,1837010,-1399577,437433.7,242963.5,-21865.8,0,0,2203.241,1,56573.42,-206303,0,0,0,-452499,-621.734,0,0,0,10131.68,-254287,0,-186269,-222.509,-186492,0,0,0,0,0,0,-186492
4568,Інтеграл-банк,0,269142.3,0,14937.35,0,164147.9,605549,21501.78,61,0,0,43346.66,364.2354,345.3573,4062.102,35867.85,1317.16,0,135719.8,216580.9,493115.2,0,0,0,0,2.89348,69079.25,1660.904,50435.27,0,160000,14.15,0,2992.875,31041.33,0,145804.6,-80342.3,65462.29,30103.25,-7778.91,-1370.07,0,-233194,0,-195625,391137.4,11556.39,0,0,-1288.56,-12195.3,0,0,-2.89348,5655.558,-49913.3,0,2547.728,445.1468,2992.875,0,0,0,0,0,0,2992.875
4571,КАМБІО,0,2268.587,0,69238.99,0,0,207985,-20403.5,302165.4,0,0,21891.44,311.514,109.5376,46620.37,258.166,34819.46,30435.97,394201.9,196558.4,573694.1,659.9263,11199.71,0,0,0,1942.915,2024.011,107559.5,0,174428.3,0,0,-806901,728.9611,39603.76,244656.3,-178208,66448.52,9783.861,-2360.59,20588.53,0,0,-657.122,27928.84,6754.573,0,0,0,-877430,-133.258,0,0,1.2,4184.219,-63963.5,0,-808855,1327.475,-807527,0,0,0,0,0,0,-807527
4572,КАПІТАЛ,0,121319.4,0,233823.7,53589.43,15832.04,754437.8,225891.4,4721.805,24903.39,0,0,70.926,0,59689.01,7630.312,176677.7,97204.22,130557.1,365314.7,966489.2,0,0,29.232,121.2063,25.67103,4614.832,4394.864,110000,0,194078.9,1048.95,0,-8023.55,6776.743,363.3391,139650,-192162,-52511.7,22196.31,-4420.99,-6935.56,0,53589.43,20.05,59616.49,-29838.3,0,0,0,-5315.29,-763.237,0,-111.249,-16.6363,566.6839,-33491.8,0,2584.144,-1441.64,1142.503,0,0,0,0,0,0,1142.503
4573,КИЇВ,0,4285.999,2393.916,0,0,0,321623.1,5204.443,2874.754,0,0,124079.5,252.8092,72085.32,495320.3,6789.573,9301.542,440342.1,776756.3,67145.11,401852.3,0,464.6995,0,35220.49,31748.63,1784.308,4997.847,0,0,3567544,846.7425,0,-4213166,374544.4,434814.7,167094.5,-106267,60827.47,5727.566,-2073.4,0,0,-2892.34,0,26.22514,282741.7,0,0,0,-864055,-19608,0,0,-28723.3,39525.04,-91154.9,0,-619659,-127583,-747241,766.0963,123411.2,0,0,-145.954,124031.3,-623210
4574,КИЇВСЬКА РУСЬ,0,1153865,0,0,0,10934.61,5271463,408851.2,1246841,0,0,164983,1028.565,653.039,128420,33769.68,20992.21,166459.3,985673.3,2504971,3834630,0,66859.73,270,0,0,164006.1,21675.83,448898.7,0,600000,0,0,-120322,21075.64,80521.53,1133191,-1064976,68214.97,117014.1,-20007.7,0,0,0,535.4565,-14843.5,8616.918,12281.29,0,0,19083.55,-689.67,0,0,0,53208.99,-239865,0,3548.922,-625.815,2923.107,-10137.1,0,0,0,0,-10137.1,-7213.95
4575,КОНТРАКТ,0,82550.96,0,139039.1,75482.65,4115.371,285215.4,48133.79,0,0,0,6626.202,134.0344,857.3165,42583.88,2545.398,3591.367,48870.18,3153.711,232230.5,320293.4,0,0,0,13748.52,3182.004,26499.05,1867.435,39192.97,0,86000,0,0,-20431.1,11201.01,22808.15,68069.78,-79896.1,-11826.4,37613.57,-10036.2,-1705.61,0,41087.32,0,13141.55,-32671.1,4158.435,0,0,-5228.45,-307.046,0,0,241.6633,567.3398,-57378.1,0,-22343,-8354.24,-30697.2,0,11433.96,0,0,-2058.11,9375.844,-21321.4
4576,КРЕДИТПРОМБАНК,0,208020.5,0,0,0,0,145716.5,2127.625,1068.1,0,0,850888.8,4401.339,55044.02,4142.298,2935.873,1201.849,21997.93,296728,438623.8,15653.6,0,87498.26,0,19.49335,1.30237,12313.7,2776.834,290477.2,0,2635938,200462.1,0,-2689988,0,7040.05,23875.6,-53147.5,-29271.9,2793.149,-1307.13,0,0,676.2793,8729.936,975.9862,-123175,351157.2,0,0,-33035,293.2042,-111278,0,-1.0093,13759.35,-68001.4,0,12315.64,0,12315.64,15777.98,0,0,0,0,15777.98,28093.62
4577,ЛЕГБАНК,0,17674.68,0,0,0,-16043,205307.3,11713.79,72642.46,0,0,0,680.3833,0,33841,2844.777,239.7443,67267.91,29597.94,52468.07,369383.9,0.11231,0,0,1526.804,0,8625.883,5324.75,27810.92,0,111500,0,0,-243401,26348.24,6983.505,59758.08,-44554.2,15203.87,4635.738,-918.673,0,0,0,0,2494.608,-11705.7,0,0,0,-221398,0.816,-5429.9,0,23.24735,1253.872,-27297.7,0,-243138,-645.896,-243784,1530.743,0,0,0,0,1530.743,-242253
4578,МЕЛІОР БАНК,0,2219.895,0,0,0,77.4856,76772.42,954.2197,0,0,0,0,0,71.92619,4534.631,2.15118,132.2271,0,0,57870.4,36873.76,0,0,130.284,0,126.0538,63.95579,398.2534,0,0,190000,0,0,-202489,1791.114,0,53529.95,-20127.8,33402.13,11489.26,-3958.7,546.35,0,1550.754,0,1020.074,5566.931,0,0,0,-239672,-3.28543,0,0,-60.1793,2731.386,-14669.1,0,-202057,-432.188,-202489,0,0,0,0,0,0,-202489
4580,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,0,6591.083,24947.73,0,0,158.3882,0,966.0858,0,0,0,0,4639.079,0,80509.63,2811.564,5942.143,0,256509.1,505219.2,2463888,35840.27,0,0,418.03,16.8515,56717.99,15820.47,305933.9,0,400000,0,0,-3926986,8657.261,4530.327,653940.9,-394291,259649.5,35864.15,-1940.04,0,0,30865.93,-12225.8,57355.4,-225743,0,0,0,-3806284,-101073,-39125.6,0,640.785,29851.54,-173515,0,-3945679,-6107.2,-3951786,125.5873,0,0,0,0,125.5873,-3951660
4886,"ПАТ ""БАНК МИХАЙЛІВСЬКИЙ""",0,261484,0,0,0,83044.73,1611812,204296.2,0,0,0,0,0,3508.973,88299.89,51687.33,25921.24,0,42080.55,986412.3,631098.1,22709.17,769.4456,0,0,1354.988,38531.43,4823.911,67572.85,0,500000,0,0,34701.76,0,0,218674.1,-149152,69521.87,234379.1,-6529.75,9063.377,0,-47577.1,0,-3022.04,41243.27,0,44886.69,0,-54541.5,-8342.85,0,0,-1318.72,24120.33,-250375,0,51507.46,0,51507.46,0,0,0,0,0,0,51507.46
